C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,399287,217501
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,400285,217681
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,16495592,4767534
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,16495663,4767537
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,16495751,4767677
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,16496256,4767982
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,16497042,4768138
A010,R080,00-00-06,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,16498356,4768288
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,27458788,5612552
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,27458944,5612559
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,27459142,5612711
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,27460127,5612966
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,27461287,5613101
A010,R080,00-00-07,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,27462959,5613202
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,887022755,492683973
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,887022613,492683950
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,887022471,492683414
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,887022007,492681784
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,887021333,492681128
A011,R080,01-00-00,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,887020060,492680439
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,15711113,17324096
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,15711197,17324101
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,15711293,17324367
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,15711684,17325177
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,15712216,17325467
A011,R080,01-00-01,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,15713430,17325796
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,1561554515,1292765755
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,1561554575,1292765762
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,1561554658,1292765941
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,1561554990,1292766607
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,1561555391,1292766854
A011,R080,01-00-02,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,1561556419,1292767138
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,1661932157,1257126946
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,1661932207,1257126934
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,1661932257,1257126742
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,1661932490,1257125993
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,1661932857,1257125609
A011,R080,01-00-03,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,1661933737,1257124974
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,445962,499833
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,446044,499865
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,446101,500116
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,446345,501257
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,446793,501888
A011,R080,01-00-04,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,447969,502570
A011,R080,01-00-05,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,445712,434492
A011,R080,01-00-05,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,445787,434522
A011,R080,01-00-05,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,445874,434868
A011,R080,01-00-05,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,446184,436257
A011,R080,01-00-05,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,446866,436855
A011,R080,01-00-05,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,448326,437409
A013,R081,01-00-00,49 ST,NQRW,BMT,04/28/2017,00:00:00,REGULAR,5699709,34192643
A013,R081,01-00-00,49 ST,NQRW,BMT,04/28/2017,04:00:00,REGULAR,5699748,34192733
A013,R081,01-00-00,49 ST,NQRW,BMT,04/28/2017,08:00:00,REGULAR,5699760,34193129
A013,R081,01-00-00,49 ST,NQRW,BMT,04/28/2017,12:00:00,REGULAR,5699786,34194471
A013,R081,01-00-00,49 ST,NQRW,BMT,04/28/2017,16:00:00,REGULAR,5699862,34195511
